Release_date,Album name,Artist name,Total Track,Total duration_ms
2018-09-26,From Montreal to Welly,Ghostnaut,12,2477002
2017-06-05,Sideways,Ghostnaut,7,1426549
2016-06-01,Lips Move,Ghostnaut,7,1400030
2022-04-20,Wind Shear,Ghostnaut,1,164000
2022-03-18,In Between,Ghostnaut,1,150861
2022-03-08,Apple Pie,Ghostnaut,1,141800
2022-01-19,Stars Beyond The Sea,Ghostnaut,1,164000
2021-12-16,Willow Tree,Ghostnaut,1,135962
2021-10-07,Bora Bora,Ghostnaut,1,150769
2021-08-25,Last Call,Ghostnaut,1,176475
2021-08-25,RING THE BELL,L'Indécis,10,969501
2019-05-10,Second Wind,L'Indécis,14,2180943
2019-03-20,PLAYTIME&PLETHORIA,L'Indécis,18,3618410
2019-01-24,Belleville,L'Indécis,7,1142939
2018-02-28,Playtime,L'Indécis,7,1233081
2017-05-31,Plethoria,L'Indécis,11,2385317
2016-10-19,Bipolaire,L'Indécis,13,2943514
2015-02-02,Monday Chill Compilation,L'Indécis,10,2482881
2021-10-22,Vilano,L'Indécis,1,176200
2022-03-20,DIGI²,郭顶,4,3741562
2022-03-20,DIGI¹,郭顶,4,3292168
2016-11-25,飞行器的执行周期,郭顶,10,2455117
2021-04-22,_5:15,郭顶,1,315680
2018-11-23,It's Always The Little Things,郭顶,1,250720
2017-09-22,不明下落,郭顶,1,253543
2020-11-06,My Jazz Music Café - Americano,郭顶,15,4070345
2021-11-09,"成为了这样的大人,并不可耻",A Si,10,2452754
2016-10-01,我愚蠢的理想主义,A Si,10,2453635
2013-07-25,预谋邂逅,A Si,10,2182583
2022-03-15,Awake,A Si,1,160156
2021-11-01,"尽管如此,还是",A Si,1,279911
2021-10-22,不在他方,A Si,1,243700
2021-01-05,"日久生情,与这波澜不惊",A Si,1,239508
2020-12-17,子期,A Si,1,271554
2019-08-15,预谋邂逅 (Liia Remix),A Si,1,224794
2019-07-04,热爱105°C的你,A Si,1,195328
2019-09-14,Arcade,LAKEY INSPIRED,1,107716
2019-07-27,Blossom,LAKEY INSPIRED,1,190000
2019-05-03,By The Pool,LAKEY INSPIRED,1,155217
2019-02-24,Overjoyed,LAKEY INSPIRED,1,160754
2018-11-10,In My Clouds,LAKEY INSPIRED,1,144143
2018-10-21,Visions,LAKEY INSPIRED,1,197198
2018-05-14,This Feeling,LAKEY INSPIRED,1,143751
2018-05-01,Blue Boi,LAKEY INSPIRED,1,105613
2018-01-29,Doing Just Fine,LAKEY INSPIRED,1,170684
2017-11-14,Me 2,LAKEY INSPIRED,1,180610
2017-04-24,23,HYUKOH,12,2963995
2021-12-08,World of the Forgotten (Nosaj Thing Remix),HYUKOH,1,175327
2021-12-08,through love REMIX,HYUKOH,4,906453
2020-10-08,Help (Sunset Rollercoaster Remake),HYUKOH,1,252281
2020-09-24,Help (IDIOTAPE Remix),HYUKOH,1,264600
2020-09-17,Silverhair Express (Chang Kiha Remix),HYUKOH,1,214245
2020-01-30,through love,HYUKOH,6,1585997
2019-11-22,NOWHERE MAN (A Netflix Original Series Soundtrack),HYUKOH,1,212240
2019-01-08,Gang Gang Schiele (Superorganism Remix),HYUKOH,1,247310
2018-05-31,24 : How to find true love and happiness,HYUKOH,6,1263997
