Release_date,Album name,Artist name,Total Track,Total duration_ms
2020-01-17,Blackstar,Lupe Fiasco,15,3449960
2018-09-21,DROGAS WAVE,Lupe Fiasco,24,5917116
2017-09-08,Drogas,Lupe Fiasco,15,3878380
2017-02-10,DROGAS Light,Lupe Fiasco,14,3662595
2015-01-20,Tetsuo & Youth,Lupe Fiasco,16,4731485
2012-09-25,"Food & Liquor II: The Great American Rap Album, Pt. 1",Lupe Fiasco,16,4132020
2020-06-08,C-POP,Ryan.B,10,1920384
2012-09-04,Magnified,Ryan.B,11,2016961
2022-04-08,I Know,Ryan.B,1,222053
2022-03-09,about Love,Ryan.B,3,656600
2022-01-21,你睡了没,Ryan.B,1,194200
2021-12-20,At Christmas,Ryan.B,1,184306
2021-10-22,27度,Ryan.B,1,193729
2021-10-14,this is what falling in love feels like (Mandarin Version),Ryan.B,1,121118
2021-03-24,一線之隔,Ryan.B,2,400596
2020-11-25,特别关系,Ryan.B,1,196720
2021-05-11,Tizzy T,Tizzy T,13,2641498
2022-05-27,你最好知道,Tizzy T,6,1235442
2020-06-08,呼吸,Tizzy T,1,168404
2019-11-21,天顶一粒星,Tizzy T,1,233536
2019-09-13,噩梦,Tizzy T,1,198357
2018-11-23,Relax,Tizzy T,1,201373
2018-10-26,BLESSED,Tizzy T,1,234021
2018-10-17,Relax (M3SSIAH Remix),Tizzy T,1,218666
2018-10-05,贫民百万男孩,Tizzy T,1,212000
2021-07-21,2021 MDSK CYPHER,Tizzy T,1,694539
2018-08-31,Bloom,Troye Sivan,10,2209911
2016-11-18,Blue Neighbourhood (The Remixes),Troye Sivan,14,3271897
2015-12-04,Blue Neighbourhood (Deluxe),Troye Sivan,16,3531824
2022-05-06,Angel Baby (Slowed),Troye Sivan,2,483402
2022-04-13,Angel Baby (Acoustic),Troye Sivan,2,478779
2022-02-23,Wait (from ‘Three Months’),Troye Sivan,1,209533
2022-02-17,Trouble (from ‘Three Months’),Troye Sivan,1,203466
2021-09-09,Angel Baby,Troye Sivan,1,220779
2019-11-22,Divinely Uninspired To A Hellish Extent (Extended Edition),Lewis Capaldi,15,3194756
2019-05-17,Divinely Uninspired To A Hellish Extent,Lewis Capaldi,12,2549847
2020-08-14,Before You Go (Orchestral),Lewis Capaldi,2,442671
2020-07-03,Before You Go (Edessa Remix),Lewis Capaldi,2,411192
2020-05-15,To Tell The Truth I Can't Believe We Got This Far EP,Lewis Capaldi,6,1387976
2020-03-12,Before You Go (Live From The Capitol Rooftop),Lewis Capaldi,2,437826
2020-01-24,Before You Go EP,Lewis Capaldi,4,877821
2019-12-16,Before You Go (Piano Version),Lewis Capaldi,2,433874
2019-11-19,Before You Go,Lewis Capaldi,2,435306
2019-10-25,Bruises (Delta Jack Remix),Lewis Capaldi,2,420652
2022-04-01,Wings Of Stone,Adam Levine,1,226512
2021-08-06,Good Mood (Original Song From Paw Patrol: The Movie),Adam Levine,1,210643
2021-02-18,Lifestyle (feat. Adam Levine) [David Guetta Slap House Mix],Adam Levine,1,135661
2021-02-16,Lifestyle (feat. Adam Levine) [GOLDHOUSE Remix],Adam Levine,1,205824
2021-02-16,Lifestyle (feat. Adam Levine) [MKJ Remix],Adam Levine,1,155142
2021-01-20,Lifestyle (feat. Adam Levine),Adam Levine,1,153865
2016-06-27,"Go Now (From ""Sing Street"" Original Motion Picture Soundtrack)",Adam Levine,1,232693
2014-06-23,Lost Stars,Adam Levine,1,267920
2021-06-20,Overexposed,Maroon 5,12,2533956
2021-06-11,JORDI (Deluxe),Maroon 5,14,2588760
2018-11-21,Red Pill Blues + (Deluxe),Maroon 5,23,5421687
2017-11-03,Red Pill Blues (Deluxe),Maroon 5,15,3669449
2021-11-11,An Evening With Silk Sonic,Bruno Mars,10,2186892
2016-11-17,24K Magic,Bruno Mars,9,2012034
2012-12-11,Unorthodox Jukebox (Deluxe Edition),Bruno Mars,15,3117393
2012-12-05,Unorthodox Jukebox,Bruno Mars,10,2097024
2010-10-05,Doo-Wops & Hooligans,Bruno Mars,10,2126642
